seed,vehiculo_problema_id,hubo_colisiones,vehiculos_afectados,total_vehiculos,distancia_seguridad,duracion
15,3,True,1,10,5.0,30.0
16,5,True,1,10,5.0,30.0
17,8,True,1,10,5.0,30.0
18,2,True,1,10,5.0,30.0
19,0,True,1,10,5.0,30.0
20,2,True,1,10,5.0,30.0
21,2,True,1,10,5.0,30.0
22,2,True,1,10,5.0,30.0
23,4,True,1,10,5.0,30.0
24,6,True,1,10,5.0,30.0
25,6,True,1,10,5.0,30.0
26,3,True,1,10,5.0,30.0
27,7,True,1,10,5.0,30.0
28,1,True,1,10,5.0,30.0
29,8,True,1,10,5.0,30.0
30,8,True,1,10,5.0,30.0
31,0,True,1,10,5.0,30.0
32,1,True,1,10,5.0,30.0
33,9,True,1,10,5.0,30.0
34,8,True,1,10,5.0,30.0
35,8,True,1,10,5.0,30.0
36,5,True,1,10,5.0,30.0
37,9,True,1,10,5.0,30.0
38,6,True,1,10,5.0,30.0
39,3,True,1,10,5.0,30.0
40,7,True,1,10,5.0,30.0
41,6,True,1,10,5.0,30.0
42,1,True,1,10,5.0,30.0
43,0,True,1,10,5.0,30.0
44,6,True,1,10,5.0,30.0
45,4,True,1,10,5.0,30.0
46,1,True,1,10,5.0,30.0
47,5,True,1,10,5.0,30.0
48,8,True,1,10,5.0,30.0
49,1,True,1,10,5.0,30.0
50,7,True,1,10,5.0,30.0
51,3,True,1,10,5.0,30.0
52,4,True,1,10,5.0,30.0
53,9,True,1,10,5.0,30.0
54,2,True,1,10,5.0,30.0
55,1,True,1,10,5.0,30.0
56,8,True,1,10,5.0,30.0
57,0,True,1,10,5.0,30.0
58,9,True,1,10,5.0,30.0
59,3,True,1,10,5.0,30.0
60,4,True,1,10,5.0,30.0
61,7,True,1,10,5.0,30.0
62,9,True,1,10,5.0,30.0
63,7,True,1,10,5.0,30.0
64,7,True,1,10,5.0,30.0
